n;Temperatura;Planta;Operator;Turno;Lote
106;477;P3;O1;T4;L1
107;475;P3;O1;T4;L2
108;473;P3;O1;T4;L3
109;470;P3;O2;T1;L1
110;466;P3;O2;T1;L2
111;468;P3;O2;T1;L3
112;471;P3;O2;T2;L1
113;473;P3;O2;T2;L2
114;476;P3;O2;T2;L3
115;478;P3;O2;T3;L1
116;480;P3;O2;T3;L2
117;474;P3;O2;T3;L3
118;477;P3;O2;T4;L1
119;471;P3;O2;T4;L2
120;469;P3;O2;T4;L3
121;466;P3;O3;T1;L1
122;465;P3;O3;T1;L2
123;471;P3;O3;T1;L3
124;473;P3;O3;T2;L1
125;475;P3;O3;T2;L2
126;478;P3;O3;T2;L3
127;471;P3;O3;T3;L1
128;469;P3;O3;T3;L2
129;471;P3;O3;T3;L3
130;475;P3;O3;T4;L1
131;477;P3;O3;T4;L2
132;472;P3;O3;T4;L3
133;469;P3;O4;T1;L1
134;471;P3;O4;T1;L2
135;468;P3;O4;T1;L3
136;473;P3;O4;T2;L1
137;475;P3;O4;T2;L2
138;473;P3;O4;T2;L3
139;477;P3;O4;T3;L1
140;470;P3;O4;T3;L2
141;469;P3;O4;T3;L3
142;463;P3;O4;T4;L1
143;471;P3;O4;T4;L2
144;469;P3;O4;T4;L3
145;484;P4;O1;T1;L1
146;477;P4;O1;T1;L2
147;480;P4;O1;T1;L3
148;476;P4;O1;T2;L1
149;475;P4;O1;T2;L2
150;474;P4;O1;T2;L3
151;475;P4;O1;T3;L1
152;470;P4;O1;T3;L2
153;469;P4;O1;T3;L3
154;481;P4;O1;T4;L1
155;476;P4;O1;T4;L2
156;472;P4;O1;T4;L3
157;469;P4;O2;T1;L1
158;475;P4;O2;T1;L2
159;479;P4;O2;T1;L3
160;482;P4;O2;T2;L1
161;483;P4;O2;T2;L2
162;479;P4;O2;T2;L3
163;477;P4;O2;T3;L1
164;479;P4;O2;T3;L2
165;475;P4;O2;T3;L3
166;472;P4;O2;T4;L1
167;476;P4;O2;T4;L2
168;479;P4;O2;T4;L3
169;470;P4;O3;T1;L1
170;481;P4;O3;T1;L2
171;481;P4;O3;T1;L3
172;475;P4;O3;T2;L1
173;470;P4;O3;T2;L2
174;475;P4;O3;T2;L3
175;469;P4;O3;T3;L1
176;477;P4;O3;T3;L2
177;482;P4;O3;T3;L3
178;485;P4;O3;T4;L1
179;479;P4;O3;T4;L2
180;474;P4;O3;T4;L3
181;469;P4;O4;T1;L1
182;473;P4;O4;T1;L2
183;475;P4;O4;T1;L3
184;477;P4;O4;T2;L1
185;473;P4;O4;T2;L2
186;471;P4;O4;T2;L3
187;470;P4;O4;T3;L1
188;468;P4;O4;T3;L2
189;474;P4;O4;T3;L3
190;483;P4;O4;T4;L1
191;477;P4;O4;T4;L2
192;476;P4;O4;T4;L3
